| STT | Benchmark Query | Gold Answer |
| :--- | :--- | :--- |
| **1** | Điều kiện về thời gian đóng bảo hiểm xã hội để lao động nữ được hưởng chế độ thai sản khi sinh con là gì? | Lao động nữ sinh con phải đóng bảo hiểm xã hội bắt buộc từ đủ 06 tháng trở lên trong thời gian 12 tháng liền kề trước khi sinh con. Trường hợp lao động nữ đã đóng bảo hiểm xã hội bắt buộc từ đủ 12 tháng trở lên mà khi mang thai phải nghỉ việc để dưỡng thai theo chỉ định của người hành nghề khám bệnh, chữa bệnh thì phải đóng bảo hiểm xã hội bắt buộc từ đủ 03 tháng trở lên trong thời gian 12 tháng liền kề trước khi sinh con. |
| **2** | Mức hưởng trợ cấp ốm đau một tháng của người lao động làm việc trong điều kiện bình thường được tính như thế nào? | Mức hưởng trợ cấp ốm đau của người lao động làm việc trong điều kiện bình thường bằng 75% tiền lương làm căn cứ đóng bảo hiểm xã hội của tháng gần nhất trước tháng nghỉ việc hưởng chế độ ốm đau. Trường hợp phải nghỉ việc ngay trong tháng đầu tiên tham gia hoặc tháng tham gia trở lại thì tính trên tiền lương làm căn cứ đóng bảo hiểm xã hội của tháng đó. |
| **3** | Mức trợ cấp một lần khi nghỉ hưu được quy định như thế nào đối với người có số năm đóng bảo hiểm xã hội cao hơn mức tối đa hưởng lương hưu? | Khi nghỉ hưu, lao động nam có thời gian đóng bảo hiểm xã hội cao hơn 35 năm, lao động nữ có thời gian đóng cao hơn 30 năm thì ngoài lương hưu còn được hưởng trợ cấp một lần. Mức hưởng trợ cấp một lần cho mỗi năm đóng cao hơn bằng 0,5 lần của mức bình quân tiền lương làm căn cứ đóng bảo hiểm xã hội cho đến tuổi nghỉ hưu. Trường hợp người lao động đã đủ điều kiện hưởng lương hưu mà tiếp tục đóng bảo hiểm xã hội thì mức trợ cấp bằng 02 lần mức bình quân tiền lương cho mỗi năm đóng cao hơn kể từ sau thời điểm đủ tuổi nghỉ hưu đến thời điểm nghỉ hưu. |
| **4** | Công dân Việt Nam cần đáp ứng điều kiện gì để được hưởng trợ cấp hưu trí xã hội? | Công dân Việt Nam được hưởng trợ cấp hưu trí xã hội khi từ đủ 75 tuổi trở lên, không hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội hằng tháng (trừ trường hợp Chính phủ quy định khác) và có văn bản đề nghị hưởng trợ cấp hưu trí xã hội. Đối với người từ đủ 70 tuổi đến dưới 75 tuổi thuộc hộ nghèo, hộ cận nghèo, nếu đáp ứng điều kiện không hưởng lương hưu, trợ cấp bảo hiểm xã hội hằng tháng và có văn bản đề nghị thì cũng được hưởng trợ cấp hưu trí xã hội. |
| **5** | Mức trợ cấp mai táng đối với thân nhân của người lao động tham gia bảo hiểm xã hội bắt buộc bị chết là bao nhiêu? | Mức trợ cấp mai táng bằng 10 lần mức tham chiếu tại tháng mà người lao động chết. Điều kiện để được nhận trợ cấp mai táng là người lao động có thời gian đóng bảo hiểm xã hội bắt buộc từ đủ 12 tháng trở lên; hoặc chết do tai nạn lao động, bệnh nghề nghiệp; hoặc đang hưởng, tạm dừng hưởng lương hưu, trợ cấp tai nạn lao động, bệnh nghề nghiệp hằng tháng đã nghỉ việc. |
| **6** | Nam và nữ phải đáp ứng điều kiện về độ tuổi như thế nào để được kết hôn hợp pháp? | Để được kết hôn hợp pháp, nam phải từ đủ 20 tuổi trở lên và nữ phải từ đủ 18 tuổi trở lên. |
| **7** | Tài sản chung của vợ chồng bao gồm những loại tài sản nào? | Tài sản chung của vợ chồng gồm tài sản do vợ, chồng tạo ra, thu nhập do lao động, hoạt động sản xuất, kinh doanh, hoa lợi, lợi tức phát sinh từ tài sản riêng và thu nhập hợp pháp khác trong thời kỳ hôn nhân. Tài sản chung cũng bao gồm tài sản mà vợ chồng được thừa kế chung, tặng cho chung và tài sản khác mà vợ chồng thỏa thuận là tài sản chung. Quyền sử dụng đất có được sau khi kết hôn cũng là tài sản chung của vợ chồng, trừ trường hợp được thừa kế riêng, tặng cho riêng hoặc có được thông qua giao dịch bằng tài sản riêng. |
| **8** | Vợ chồng có quyền nhờ người mang thai hộ vì mục đích nhân đạo khi đáp ứng đủ các điều kiện nào? | Vợ chồng có quyền nhờ người mang thai hộ khi có xác nhận của tổ chức y tế có thẩm quyền về việc người vợ không thể mang thai và sinh con ngay cả khi áp dụng kỹ thuật hỗ trợ sinh sản. Đồng thời, vợ chồng đang không có con chung và đã được tư vấn về y tế, pháp lý, tâm lý. Việc mang thai hộ vì mục đích nhân đạo phải được thực hiện trên cơ sở tự nguyện của các bên và được lập thành văn bản. |
| **9** | Quyền yêu cầu giải quyết ly hôn của người chồng bị hạn chế trong hoàn cảnh nào? | Người chồng không có quyền yêu cầu ly hôn trong trường hợp vợ đang có thai, sinh con hoặc đang nuôi con dưới 12 tháng tuổi. |
